No,Cruise,Sample,Station,Depth.Category,depth,Size.Fraction,Min.Size.Fraction,lat,lon,Depth.m,Temp,O2,time,PANGAEA.sample.identifier,PO4.umol.l,NO2NO3.umol.l,SI.umol.l,Biome,OceanRegion1,OceanRegion2,PO4.WOA,NO3.WOA,NP.ratio.WOA,Pstar.WOA,Nstar.WOA,PO4.100m.WOA,NO3.100m.WOA,PO4.200m.WOA,NO3.200m.WOA,PO4.500m.WOA,NO3.500m.WOA,tot.counts,recA.sums,phnA.sums,phnC.sums,phnD.sums,phnE.sums,phnG.sums,phnH.sums,phnI.sums,phnJ.sums,phnK.sums,phnL.sums,phnM.sums,phnP.sums,phnW.sums,phnX.sums,phoA.sums,phoD.sums,phoX.sums,pstA.sums,pstB.sums,pstC.sums,ptxD.sums,phnZ.sums
11,TARA,TARA_022_SRF_<-0.22,22,SRF,5,<-0.22,Virome,39.8386,17.4155,5.5,17,220.9,11/16/09 8:16,TARA_S200002703,0.02,0.21,2.03,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0514,0.3499,6.807392996,0.02953125,2.2475,6.1127,84.6371,16.0974,344.4957,52.3078,1552.0627,6456340,5797.760161,59.44836122,274.0965275,298.8537335,307.9256676,49.13828512,48.62235413,72.85023524,57.21307512,64.06261332,60.57921466,41.12373274,308.6702309,5.43071285,17.78152835,131.1221085,386.260476,188.1046029,254.9572981,239.4127993,215.3302053,561.9114469,108.2205792
12,TARA,TARA_023_DCM_<-0.22,23,DCM,55,<-0.22,Virome,42.1735,17.7252,55.2,15.7,224.3,11/18/09 13:50,TARA_E500000081,0.01,0.04,1.05,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0493,0.9547,19.36511156,-0.01036875,2.8859,8.7069,128.163,23.8918,498.5939,67.0554,1549.9873,13351500,4915.02094,15.72739666,5.240462102,16.38215147,6.788996063,0,0.78443173,0.990441789,1.134740896,1.505554449,1.529400952,0,20.98062956,1.527372287,0.749040477,26.32898159,14.89633098,39.6338029,43.07410045,39.78919004,13.66057161,245.5495776,6.258267874
13,TARA,TARA_023_DCM_0.22-1.6,23,DCM,55,0.22-1.6,0.22,42.1735,17.7252,55.2,15.7,224.3,11/18/09 13:50,TARA_X000001382,0.01,0.05,1.05,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0493,0.9547,19.36511156,-0.01036875,2.8859,8.7069,128.163,23.8918,498.5939,67.0554,1549.9873,12046600,10585.43468,1550.275995,3817.732354,4574.571386,6408.869575,943.1611453,1402.321881,2051.47984,1771.552687,1804.43781,1470.880091,14.42157133,3048.313384,608.0294032,474.2910262,1441.169177,2848.512791,2059.473499,5229.42709,5824.050621,5510.657819,7192.031749,4116.420512
14,TARA,TARA_023_SRF_0.22-1.6,23,SRF,5,0.22-1.6,0.22,42.2038,17.715,5.5,17.6,220,11/18/09 8:41,TARA_E500000075,0.01,0.05,1.38,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0745,0.3702,4.969127517,0.0513625,1.8982,8.7069,128.163,23.8918,498.5939,67.0554,1549.9873,8584730,9661.638161,1291.559552,4038.600928,4555.385742,6244.451696,1116.693291,1839.981329,2631.13422,2326.2104,2234.739075,1791.90252,13.65610556,4061.486318,483.0748394,700.8064177,1224.382666,2199.340369,1454.015559,5595.744494,5646.541645,5523.310219,9300.655104,3897.70749
15,TARA,TARA_025_DCM_<-0.22,25,DCM,50,<-0.22,Virome,39.3991,19.3997,51.7,15.2,229.5,11/23/09 13:52,TARA_E500000331,0.01,0.03,1.82,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0402,0.2958,7.358208955,0.0217125,2.3726,4.8049,68.1867,11.971,305.9243,45.1204,1439.8438,31380200,5342.019912,231.2858258,601.2743774,613.6333718,674.0985311,62.39551092,114.6242183,110.9730345,105.060298,98.37481817,99.74567196,51.18485025,614.6207968,44.29563802,84.65621278,243.8641212,821.1834583,558.8445366,508.9336409,494.9804178,380.9642977,850.6709738,270.0161385
16,TARA,TARA_025_DCM_0.22-1.6,25,DCM,50,0.22-1.6,0.22,39.3991,19.3997,51.7,15.2,229.5,11/23/09 13:52,TARA_E500000305,0.01,0.03,1.82,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0402,0.2958,7.358208955,0.0217125,2.3726,4.8049,68.1867,11.971,305.9243,45.1204,1439.8438,9504420,20750.75652,2945.704178,9088.297086,9972.394196,14300.41539,1720.010577,2024.389832,2327.301912,2062.554427,2257.906545,2169.761959,17.41800929,6340.230803,1078.025965,990.1704205,1281.379289,3368.982148,5188.195685,10918.16619,10487.47285,10424.72439,11566.96257,8150.8659
17,TARA,TARA_025_SRF_<-0.22,25,SRF,5,<-0.22,Virome,39.3888,19.3905,5.5,18.3,218,11/23/09 9:12,TARA_E500000178,0.07,0.15,1.05,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0368,0.2878,7.820652174,0.0188125,2.419,4.8049,68.1867,11.971,305.9243,45.1204,1439.8438,35767200,5902.792103,103.538973,696.0062822,702.5617161,748.4815446,62.44803742,176.2580277,122.9564217,125.886781,121.6070396,134.2557784,24.92231734,651.2039105,5.992091031,119.9222185,130.5054175,354.5640141,418.7469913,407.6342557,314.4178725,272.7337619,744.4386749,112.7306872
18,TARA,TARA_025_SRF_0.22-1.6,25,SRF,5,0.22-1.6,0.22,39.3888,19.3905,5.5,18.3,218,11/23/09 9:12,TARA_E500000318,0.07,0.15,1.05,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.0368,0.2878,7.820652174,0.0188125,2.419,4.8049,68.1867,11.971,305.9243,45.1204,1439.8438,5420730,21967.64689,2830.401774,9624.132989,9665.65944,15817.95834,3891.041291,5228.605817,5993.65014,5186.048509,5469.291237,5655.14151,163.8085331,13452.14485,1274.366376,2560.966428,3035.808667,5609.257352,3727.132696,13851.0217,12114.53659,12951.6147,21810.3521,10236.4514
19,TARA,TARA_030_DCM_<-0.22,30,DCM,70,<-0.22,Virome,33.9235,32.8118,69.1,19,218.1,12/15/09 15:23,TARA_A100001011,0,0.05,0.67,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.13,0.32,2.461538462,0.11,0.96,13.6229,28.6956,24.2641,113.5603,64.8769,1202.9537,30667100,2435.399912,41.44261762,76.97324338,133.2524994,113.4823728,8.045505492,7.31883387,8.905344763,8.809260281,6.716494459,4.034526428,0.538733014,138.839475,3.366446502,1.497394429,171.5275322,100.5479115,156.7190007,100.8309893,110.132376,21.40222169,276.0472116,35.00717864
20,TARA,TARA_030_DCM_0.22-1.6,30,DCM,70,0.22-1.6,0.22,33.9235,32.8118,69.1,19,218.1,12/15/09 15:23,TARA_X000001388,0,0.02,0.67,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.13,0.32,2.461538462,0.11,0.96,13.6229,28.6956,24.2641,113.5603,64.8769,1202.9537,36589600,22330.05472,3209.989289,9681.413894,9800.24055,15437.81024,2932.705123,4051.097588,4537.905085,3941.293923,4181.421102,3849.987477,5.446700104,9264.119321,883.5096828,2331.60612,2147.442448,5005.223115,4174.012261,11247.31862,10768.70219,11111.42047,17740.66333,10386.14767
21,TARA,TARA_030_SRF_0.22-1.6,30,SRF,5,0.22-1.6,0.22,33.9179,32.898,5.4,20.5,207.6,12/15/09 10:41,TARA_A100001015,0,0.02,0.82,Westerlies,Mediterranean Sea,"Mediterranean Sea, Black Sea Province",0.139,0.2158,1.552517986,0.1255125,0.7118,13.6229,28.6956,24.2641,113.5603,64.8769,1202.9537,11218400,22447.22659,3824.136594,10833.28812,12037.17415,18668.86433,3576.603225,4832.022961,6003.817221,5269.95639,5046.206932,4843.515659,4.130708262,13673.20166,529.1600062,6493.997317,4408.330651,7165.125984,2746.186963,10437.81679,10090.64592,9950.901081,20571.32854,15170.46816
22,TARA,TARA_031_SRF_<-0.22,31,SRF,5,<-0.22,Virome,27.16,34.835,5.4,25.1,188.8,1/9/10 7:15,TARA_A100001388,0.024,0.03,0.82,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.0842,0.1095,1.300475059,0.07735625,1.4823,11.3009,84.9895,39.2022,487.6981,212.1136,3661.7346,31031800,10987.56256,158.5251675,694.6642628,845.3992303,812.9189199,101.4074604,103.5810729,93.14977933,102.8771327,96.05245305,93.78904281,90.02159774,999.3643853,28.76789651,50.89480403,519.8117893,923.113372,1010.865323,998.5291057,1081.70339,933.360863,1713.136532,337.4620501
23,TARA,TARA_031_SRF_0.22-1.6,31,SRF,5,0.22-1.6,0.22,27.16,34.835,5.4,25.1,188.8,1/9/10 7:15,TARA_A100001391,0.024,0.03,0.82,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.0842,0.1095,1.300475059,0.07735625,1.4823,11.3009,84.9895,39.2022,487.6981,212.1136,3661.7346,9395410,24048.89133,2570.438131,6045.843742,6978.95328,3622.456732,125.0915431,101.7380422,175.4607507,142.4080204,146.2233329,146.6875354,0.271030771,5710.591927,741.6747094,50.3526768,927.3570128,1799.739616,2101.471089,11141.16718,11228.76555,11629.37433,10881.52876,5916.16507
24,TARA,TARA_032_DCM_<-0.22,32,DCM,80,<-0.22,Virome,23.4183,37.245,85.5,26.1,180,1/11/10 14:17,TARA_A100001037,0.018,0,0.85,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.1337,2.6447,19.78085266,-0.03159375,3.2255,8.6879,137.6548,40.7839,682.4631,289.9713,5076.8601,28351000,5230.357021,142.8673751,3403.403362,3566.505325,4999.155052,81.86568685,81.77188872,76.33741225,69.592443,67.98387913,67.75366266,10.3719042,548.0931164,3.74994673,4.234908814,138.5389291,250.4788845,3184.676253,3398.013621,3497.095889,1587.882641,4315.723624,182.9274978
25,TARA,TARA_032_DCM_0.22-1.6,32,DCM,80,0.22-1.6,0.22,23.4183,37.245,85.5,26.1,180,1/11/10 14:17,TARA_A100001518,0.018,0,0.85,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.1337,2.6447,19.78085266,-0.03159375,3.2255,8.6879,137.6548,40.7839,682.4631,289.9713,5076.8601,9841420,16439.92385,4500.777805,2791.365629,4424.667499,5253.193584,100.8844773,88.35985351,172.0862225,125.9549725,156.5247641,133.7083268,57.41429825,8571.621227,1656.950909,333.5235457,1014.768253,2542.50693,2532.044491,8786.230673,9657.858542,9406.696978,12157.57261,5349.009003
26,TARA,TARA_032_SRF_<-0.22,32,SRF,5,<-0.22,Virome,23.36,37.2183,5.4,25.8,188.4,1/11/10 7:21,TARA_A100001035,0.025,0.01,0.87,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.0253,0.0888,3.509881423,0.01975,2.404,8.6879,137.6548,40.7839,682.4631,289.9713,5076.8601,34061600,14596.12769,10.444038,18.95712408,18.35082369,27.45262933,0.961769676,0.675868236,1.949363897,1.666216731,1.698912163,0.515553417,3.581546172,20.25287512,49.31124458,0.928487449,6.320796484,13.04077412,16.97415233,28.82356524,26.0859507,25.59843888,98.80846288,8.422232624
27,TARA,TARA_032_SRF_0.22-1.6,32,SRF,5,0.22-1.6,0.22,23.36,37.2183,5.4,25.8,188.4,1/11/10 7:21,TARA_A100001515,0.025,0.01,0.87,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.0253,0.0888,3.509881423,0.01975,2.404,8.6879,137.6548,40.7839,682.4631,289.9713,5076.8601,20766000,31213.97045,2973.372555,5799.811672,6615.274739,3417.589906,51.35456586,46.25117531,71.58133473,61.33478821,70.39986148,64.00107582,0.325,5392.526188,632.2058665,31.42814828,907.6881778,1669.448275,1669.371378,10334.68581,10544.32344,11188.8772,9258.276805,5704.672351
28,TARA,TARA_033_SRF_0.22-1.6,33,SRF,5,0.22-1.6,0.22,21.9467,38.2517,5.4,27.3,182.8,1/13/10 7:16,TARA_A100001234,0.053,0,1.15,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.0994,0.0786,0.790744467,0.0944875,1.2082,10.5173,75.8723,53.1035,609.97,315.3354,5590.4184,5870580,14028.50324,2471.454442,2776.930387,3373.011945,2705.662108,23.1660519,22.52505363,27.01819877,25.46573739,20.68715645,30.38331792,0,5573.406581,725.0142606,40.29329328,840.0160982,1886.578862,709.4632341,7050.391934,7406.526556,7586.428365,8516.681233,5616.506737
29,TARA,TARA_034_DCM_<-0.22,34,DCM,60,<-0.22,Virome,18.4417,39.8567,60.1,27.6,175.4,1/20/10 11:50,TARA_B100000029,0.19,0.03,1.35,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.2097,1.1526,5.496423462,0.1376625,0.5174,21.1907,115.7422,69.078,881.2678,342.1377,4874.9654,25836500,9643.100437,7.41559369,17.6488302,23.01531322,23.94838062,0.905909586,1.530526944,0.703732021,1.132722169,0.833298579,1.156654427,0.26322044,13.49627566,15.3479467,0.526869749,5.783204363,10.35212734,14.29466311,20.62879747,19.33503482,13.74965589,175.8922453,8.073097223
30,TARA,TARA_034_DCM_0.22-1.6,34,DCM,60,0.22-1.6,0.22,18.4417,39.8567,60.1,27.6,175.4,1/20/10 11:50,TARA_R100000008,0.19,0.03,1.35,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.2097,1.1526,5.496423462,0.1376625,0.5174,21.1907,115.7422,69.078,881.2678,342.1377,4874.9654,10832000,16828.25644,4635.994858,2343.022346,4383.991687,4710.608088,30.58865296,38.65729972,45.53645341,43.93049771,34.2967752,35.39541623,28.44470454,7263.779192,1537.898805,285.9019985,966.491824,1830.45675,2270.390858,3957.048357,4697.641938,4130.54736,9113.152808,6566.383509
31,TARA,TARA_034_SRF_<-0.22,34,SRF,5,<-0.22,Virome,18.3967,39.875,5.4,27.6,184.1,1/20/10 4:27,TARA_Y100000004,0.19,0.03,3.91,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.0947,0.1767,1.865892291,0.08365625,1.3815,21.1907,115.7422,69.078,881.2678,342.1377,4874.9654,20780300,17164.10525,124.3948786,152.7283684,174.5561081,184.3690549,17.28935539,27.0599863,21.72866144,17.22741973,20.68988304,20.39018476,14.11618214,337.8084994,59.05217468,7.714765847,84.28573997,170.5502755,245.0505429,219.1198964,227.0620785,141.4448664,437.5884309,42.22669018
32,TARA,TARA_034_SRF_0.1-0.22,34,SRF,5,0.1-0.22,0.1,18.3967,39.875,5.4,27.6,184.1,1/20/10 4:27,TARA_B100000003,0.09,0.64,3.91,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.0947,0.1767,1.865892291,0.08365625,1.3815,21.1907,115.7422,69.078,881.2678,342.1377,4874.9654,19680500,30116.07268,187.8542381,200.8710459,263.6548517,281.6098298,2.287225207,6.041970436,3.766907591,4.008239675,4.613835262,6.187923716,0,406.5318429,57.93800148,21.17725789,80.77654752,153.3063264,63.53989286,444.0362323,435.4623254,432.8448733,664.5341371,311.2481211
33,TARA,TARA_034_SRF_0.22-1.6,34,SRF,5,0.22-1.6,0.22,18.3967,39.875,5.4,27.6,184.1,1/20/10 4:27,TARA_R100000005,0.09,0.64,3.91,Coastal ,Red Sea,"Red Sea, Persian Gulf Province",0.0947,0.1767,1.865892291,0.08365625,1.3815,21.1907,115.7422,69.078,881.2678,342.1377,4874.9654,7598210,14115.69424,2697.481916,2381.743323,3000.133716,3168.485498,22.32882946,16.46421055,30.00000813,16.46807552,18.99405271,23.30989481,0.592225662,5286.953397,656.4880847,32.67684065,663.2296629,1569.804187,649.4523627,5931.711242,6114.820849,6192.075172,7963.784645,4979.347785
34,TARA,TARA_036_DCM_<-0.22,36,DCM,17,<-0.22,Virome,20.8222,63.5133,17.4,25.4,211.6,3/12/10 12:23,TARA_B100000035,0.37,0.13,1.79,Coastal ,Indian Ocean,Northwest Arabian Sea Upwelling Province,0.474,1.7319,3.653797468,0.36575625,-3.1321,86.9193,735.6125,295.9643,2935.8947,1047.2247,9925.6546,34100400,12634.50095,0.488371146,2.908819488,2.466694434,2.768989397,0,0.16091954,0.378600823,0.132962678,0,0,0,1.849733466,15.88350085,0.247572816,1.974796075,2.245449296,1.232439876,1.476315665,2.992539586,1.194418088,135.6049308,0.157809984
35,TARA,TARA_036_DCM_0.22-1.6,36,DCM,17,0.22-1.6,0.22,20.8222,63.5133,17.4,25.4,211.6,3/12/10 12:23,TARA_R100000030,0.37,0.13,1.79,Coastal ,Indian Ocean,Northwest Arabian Sea Upwelling Province,0.474,1.7319,3.653797468,0.36575625,-3.1321,86.9193,735.6125,295.9643,2935.8947,1047.2247,9925.6546,5736190,27011.78679,3492.429399,2310.131059,2668.531061,3152.081924,13.73431789,11.37550444,16.42968108,8.89348746,9.36119561,15.42805863,1.493923903,8395.50893,805.8444459,131.9325572,1211.959719,3139.395005,857.5215605,1965.880242,2167.349502,2081.499623,13379.96768,8362.241708
36,TARA,TARA_036_SRF_<-0.22,36,SRF,5,<-0.22,Virome,20.8183,63.5047,5.5,25.6,210.9,3/12/10 6:06,TARA_Y100000015,0.37,0.13,1.2,Coastal ,Indian Ocean,Northwest Arabian Sea Upwelling Province,0.4385,1.3299,3.032839225,0.35538125,-2.9661,86.9193,735.6125,295.9643,2935.8947,1047.2247,9925.6546,5192800,9332.099919,35.5144973,69.16402149,81.61226354,77.41754973,5.520915701,6.668199095,7.923644324,4.707755957,6.658939652,3.700495696,18.80049095,130.7169808,11.33369172,0.17921147,44.72511903,67.8764823,79.51876166,99.91817914,100.5960562,59.80761555,315.6762745,26.9098377
37,TARA,TARA_036_SRF_0.1-0.22,36,SRF,5,0.1-0.22,0.1,20.8183,63.5047,5.5,25.6,210.9,3/12/10 6:06,TARA_Y100000022,0.51,2.08,1.2,Coastal ,Indian Ocean,Northwest Arabian Sea Upwelling Province,0.4385,1.3299,3.032839225,0.35538125,-2.9661,86.9193,735.6125,295.9643,2935.8947,1047.2247,9925.6546,22813100,6021.850356,14.91733756,10.77634499,19.22883748,20.62894023,0,0,0.086648983,0,0.206979543,0.340365682,0,46.3383674,6.123441447,3.901285236,8.991783884,41.40382614,3.292604252,8.759107584,8.677841386,6.224777548,111.9740429,51.52932422
38,TARA,TARA_036_SRF_0.22-1.6,36,SRF,5,0.22-1.6,0.22,20.8183,63.5047,5.5,25.6,210.9,3/12/10 6:06,TARA_R100000027,0.51,2.08,1.2,Coastal ,Indian Ocean,Northwest Arabian Sea Upwelling Province,0.4385,1.3299,3.032839225,0.35538125,-2.9661,86.9193,735.6125,295.9643,2935.8947,1047.2247,9925.6546,36328600,20049.70122,2089.336935,1423.127836,1626.469317,1850.009434,8.464785658,8.156820604,13.64380379,10.35727581,8.88215005,15.80869724,0,5550.879155,640.4124808,82.08302509,700.5222622,2022.859856,544.1170052,1300.548891,1443.188111,1408.886567,8069.348737,5538.431463
39,TARA,TARA_037_MES_0.1-0.22,37,MES,600,0.1-0.22,0.1,20.8457,63.5851,595.1,12.1,1.6,3/12/10 17:08,TARA_Y100000310,2.91,30.52,54.48,Coastal ,Indian Ocean,Northwest Arabian Sea Upwelling Province,2.7867,28.8761,10.36211289,0.98194375,-12.9911,86.9193,735.6125,295.9643,2935.8947,1047.2247,9925.6546,26861600,30184.97234,6002.618515,470.4369099,3116.933335,1476.416081,4.115404683,6.494925954,9.099912815,6.619283823,7.251510846,7.659743894,29.6107932,6176.288724,471.1284777,212.4231703,1982.376956,2435.154824,2113.946458,1363.886481,1560.881782,260.2771138,6290.118125,1163.651754
40,TARA,TARA_037_MES_0.22-1.6,37,MES,600,0.22-1.6,0.22,20.8457,63.5851,595.1,12.1,1.6,3/12/10 17:08,TARA_B100000315,2.91,30.52,54.48,Coastal ,Indian Ocean,Northwest Arabian Sea Upwelling Province,2.7867,28.8761,10.36211289,0.98194375,-12.9911,86.9193,735.6125,295.9643,2935.8947,1047.2247,9925.6546,8556910,12307.60552,9929.5934,1647.21692,3406.951266,2896.774065,1.567273348,1.312261534,13.42872466,9.566530413,1.23214941,11.06428102,105.1327354,9434.370089,2357.432966,916.7409868,815.2099104,1242.771272,1266.56191,660.6566879,1517.710948,442.2546581,5983.089258,3405.866637
