Variable,Long Name,Unit,Make,Sensor,Process Level,Study Domain,Temporal Resolution,Spatial Resolution,Comment,Dataset Name,Data Source,Distributor,Dataset Description,Dataset_ID,ID,Table_Name,Keywords
surface_downward_eastward_stress,Eastward wind stress,Pa,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,20,tblWind_NRT,surface_downward_eastward_stress eastward wind stress near real time observation daily satellite physics
wind_speed,Wind speed,m/s,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,21,tblWind_NRT,wind_speed wind speed near real time observation daily satellite physics 
surface_downward_northward_stress,Northward wind stress,Pa,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,22,tblWind_NRT,surface_downward_northward_stress northward wind stress near real time observation daily satellite physics
northward_wind,Northward wind speed,m/s,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,23,tblWind_NRT,northward_wind northward wind speed near real time observation daily satellite physics
northward_wind_rms,Northward wind speed root mean square,m/s,Observation,Satellite,Near-Real-Time,Physics,Six Hourly,1/4° X 1/4°,,Global Ocean Wind L4 Near real Time 6 hourly,IFREMER CERSAT,http://marine.copernicus.eu/,"""The IFREMER CERSAT Global Blended Mean Wind Fields include wind components (meridional and zonal), wind module, wind stress. The associated error estimates are also provided. They are estimated from scatterometers ASCAT and OSCAT retrievals and from ECMWF operational wind analysis with a horizontal resolution of 0.25x0.25 degrees and 6 hours in time, and available at synoptic time 00h:00; 06h:00; 12h:00; 18h:00 since January, 1st 2013. ""   http://marine.copernicus.eu/",10,24,tblWind_NRT,northward_wind_rms northward wind speed root mean square near real time observation daily satellite physics
chl,Chlorophyll concentration - Mean of the binned pixels,mg/m^3,Observation,Satellite,Reprocessed,Biology,Daily,4km X 4km,mass_concentration_of_chlorophyll_a_in_sea_water,Chlorophyll Concentration  (Optimal-Interpolation),Copernicus-GlobColour,http://marine.copernicus.eu/,"""For the Global Ocean and Atlantic Satellite Observations, ACRI-ST company (Sophia Antipolis, France) is providing Chlorophyll-a products based on the Copernicus-GlobColour processor.""  http://marine.copernicus.eu/",7,25,tblCHL_OI_REP,chl chl oi chlorophyll reprocessed observation daily satellite physics 
sst,Sea Surface Temperature,C,Observation,Satellite,Near-Real-Time,Physics,Daily,1/4° X 1/4°,Single-sensor Pathfinder 5.0/5.1 AVHRR SSTs used until 2005; two AVHRRs at a time are used 2007 onward.,Sea Surface Temperature,National Centers for Environmental Information,https://podaac.jpl.nasa.gov/,"""A Group for High Resolution Sea Surface Temperature (GHRSST) global Level 4 sea surface temperature analysis produced daily on a 0.25 degree grid at the NOAA National Centers for Environmental Information. This product uses optimal interpolation (OI) by interpolating and extrapolating SST observations from different sources, resulting in a smoothed complete field. The sources of data are satellite (AVHRR) and in situ platforms (i.e., ships and buoys), and the specific datasets employed may change over. At the marginal ice zone, sea ice concentrations are used to generate proxy SSTs. A preliminary version of this file is produced in near-real time (1-day latency), and then replaced with a final version after 2 weeks. Note that this is the AVHRR-ONLY (AVHRR-OI), available from September 1, 1981, but there is a companion SST product that includes microwave satellite data, available from June 2002.""  https://podaac.jpl.nasa.gov/",9,26,tblSST_AVHRR_OI_NRT,sst oi sea surface temperature temp near real time nasa observation daily satellite physics 
vort,Relative Vorticity,1/s,Observation,Satellite,Reprocessed,Physics,Daily,1/4° X 1/4°,,Relative Vorticirty,Opedia,Simons Ocean Atlas,,11,28,tblVort_REP,vort relative vorticity reprocessed observation daily satellite physics 
ftle_bw_adt,FTLE backward-in-time using absolute geostrophic velocity,1/day,Observation,Satellite,Reprocessed,Physics,Daily,1/25° X 1/25°,Passive tracers are advected for 15 days.,Lagrangian Coherent Structures Reprocessed,Opedia,Simons Ocean Atlas,LCS (Lagrangian Coherent Structures) are a daily-global altimetry-derived and gridded product calculating Finite-Time Lyapunov Exponents (FTLE). It characterizes the transport properties of the ocean surface currents from a Lagrangian frame of reference.,1,30,tblLCS_REP,ftle_bw_adt ftle bw backward adt reprocessed observation daily satellite physics 
disp_bw_adt,Displacement backward-in-time using absolute geostrophic velocity,deg,Observation,Satellite,Reprocessed,Physics,Daily,1/25° X 1/25°,Passive tracers are advected for 15 days.,Lagrangian Coherent Structures Reprocessed,Opedia,Simons Ocean Atlas,LCS (Lagrangian Coherent Structures) are a daily-global altimetry-derived and gridded product calculating Finite-Time Lyapunov Exponents (FTLE). It characterizes the transport properties of the ocean surface currents from a Lagrangian frame of reference.,1,31,tblLCS_REP,disp_bw_adt disp displacement bw backward adt reprocessed observation daily satellite physics 
ftle_fw_adt,FTLE forward-in-time using absolute geostrophic velocity,1/day,Observation,Satellite,Reprocessed,Physics,Daily,1/25° X 1/25°,Passive tracers are advected for 15 days.,Lagrangian Coherent Structures Reprocessed,Opedia,Simons Ocean Atlas,LCS (Lagrangian Coherent Structures) are a daily-global altimetry-derived and gridded product calculating Finite-Time Lyapunov Exponents (FTLE). It characterizes the transport properties of the ocean surface currents from a Lagrangian frame of reference.,1,32,tblLCS_REP,ftle_fw_adt ftle fw forward adt reprocessed observation daily satellite physics 
disp_fw_adt,Displacement forward-in-time using absolute geostrophic velocity,deg,Observation,Satellite,Reprocessed,Physics,Daily,1/25° X 1/25°,Passive tracers are advected for 15 days.,Lagrangian Coherent Structures Reprocessed,Opedia,Simons Ocean Atlas,LCS (Lagrangian Coherent Structures) are a daily-global altimetry-derived and gridded product calculating Finite-Time Lyapunov Exponents (FTLE). It characterizes the transport properties of the ocean surface currents from a Lagrangian frame of reference.,1,33,tblLCS_REP,disp_fw_adt disp displacement fw forward adt reprocessed observation daily satellite physics 
ftle_bw_sla,FTLE backward-in-time using geostrophic velocity anomaly,1/day,Observation,Satellite,Reprocessed,Physics,Daily,1/25° X 1/25°,Passive tracers are advected for 15 days.,Lagrangian Coherent Structures Reprocessed,Opedia,Simons Ocean Atlas,LCS (Lagrangian Coherent Structures) are a daily-global altimetry-derived and gridded product calculating Finite-Time Lyapunov Exponents (FTLE). It characterizes the transport properties of the ocean surface currents from a Lagrangian frame of reference.,1,34,tblLCS_REP,ftle_bw_sla ftle bw backward sla reprocessed observation daily satellite physics 
disp_bw_sla,Displacement backward-in-time using geostrophic velocity anomaly,deg,Observation,Satellite,Reprocessed,Physics,Daily,1/25° X 1/25°,Passive tracers are advected for 15 days.,Lagrangian Coherent Structures Reprocessed,Opedia,Simons Ocean Atlas,LCS (Lagrangian Coherent Structures) are a daily-global altimetry-derived and gridded product calculating Finite-Time Lyapunov Exponents (FTLE). It characterizes the transport properties of the ocean surface currents from a Lagrangian frame of reference.,1,35,tblLCS_REP,disp_bw_sla disp displacement bw backward sla reprocessed observation daily satellite physics 
ftle_fw_sla,FTLE forward-in-time using geostrophic velocity anomaly,1/day,Observation,Satellite,Reprocessed,Physics,Daily,1/25° X 1/25°,Passive tracers are advected for 15 days.,Lagrangian Coherent Structures Reprocessed,Opedia,Simons Ocean Atlas,LCS (Lagrangian Coherent Structures) are a daily-global altimetry-derived and gridded product calculating Finite-Time Lyapunov Exponents (FTLE). It characterizes the transport properties of the ocean surface currents from a Lagrangian frame of reference.,1,36,tblLCS_REP,ftle_fw_sla ftle fw forward sla reprocessed observation daily satellite physics 
disp_fw_sla,Displacement forward-in-time using geostrophic velocity anomaly,deg,Observation,Satellite,Reprocessed,Physics,Daily,1/25° X 1/25°,Passive tracers are advected for 15 days.,Lagrangian Coherent Structures Reprocessed,Opedia,Simons Ocean Atlas,LCS (Lagrangian Coherent Structures) are a daily-global altimetry-derived and gridded product calculating Finite-Time Lyapunov Exponents (FTLE). It characterizes the transport properties of the ocean surface currents from a Lagrangian frame of reference.,1,37,tblLCS_REP,disp_fw_sla disp displacement fw forward sla reprocessed observation daily satellite physics 
Fe,Mole concentration of dissolved iron in sea water,mmol/m^3,Model,Blend,Forecast,Biogeochemistry,Weekly,1/2° X 1/2°,millimoles of Iron per cubic meter,Biogeochemistry Analysis and Weekly Forcast,MERCATOR BIOMER4V1R2,http://marine.copernicus.eu,"""Produced by Mercator Ocean in Toulouse, France, is a global Ocean Biogeochemical analysis product at 1/2°. It is providing a 7-days mean global forecast updated weekly as well as 3D global ocean biogeochemical weekly mean analysis for the past 2 years updated every week. This product includes weekly mean files of dissolved iron, nitrate, phosphate, silicate, dissolved oxygen, chlorophyll concentration, phytoplankton concentration and primary production parameters from the top to the bottom of the Global Ocean on a 1/2° regular grid projection interpolated from the 1/4° ARAKAWA-C native grid. Vertical coverage includes 50 levels ranging from 0 to 5500 meters.""   http://marine.copernicus.eu",17,39,tblPisces_NRT,Fe fe iron for forecast nrt near real time pisces model bio chem biogo biogeochemistry biogeochem blend
PP,Net primary productivity of Carbon per unit volume,g/m^3/day,Model,Blend,Forecast,Biogeochemistry,Weekly,1/2° X 1/2°,grams of Carbon per cubic meter per day,Biogeochemistry Analysis and Weekly Forcast,MERCATOR BIOMER4V1R2,http://marine.copernicus.eu,"""Produced by Mercator Ocean in Toulouse, France, is a global Ocean Biogeochemical analysis product at 1/2°. It is providing a 7-days mean global forecast updated weekly as well as 3D global ocean biogeochemical weekly mean analysis for the past 2 years updated every week. This product includes weekly mean files of dissolved iron, nitrate, phosphate, silicate, dissolved oxygen, chlorophyll concentration, phytoplankton concentration and primary production parameters from the top to the bottom of the Global Ocean on a 1/2° regular grid projection interpolated from the 1/4° ARAKAWA-C native grid. Vertical coverage includes 50 levels ranging from 0 to 5500 meters.""   http://marine.copernicus.eu",17,40,tblPisces_NRT,PP pp net primary productivity for forecast nrt near real time pisces model bio chem biogo biogeochemistry biogeochem blend
Si,Mole concentration of Silicate in sea water,umol/L,Model,Blend,Forecast,Biogeochemistry,Weekly,1/2° X 1/2°,,Biogeochemistry Analysis and Weekly Forcast,MERCATOR BIOMER4V1R2,http://marine.copernicus.eu,"""Produced by Mercator Ocean in Toulouse, France, is a global Ocean Biogeochemical analysis product at 1/2°. It is providing a 7-days mean global forecast updated weekly as well as 3D global ocean biogeochemical weekly mean analysis for the past 2 years updated every week. This product includes weekly mean files of dissolved iron, nitrate, phosphate, silicate, dissolved oxygen, chlorophyll concentration, phytoplankton concentration and primary production parameters from the top to the bottom of the Global Ocean on a 1/2° regular grid projection interpolated from the 1/4° ARAKAWA-C native grid. Vertical coverage includes 50 levels ranging from 0 to 5500 meters.""   http://marine.copernicus.eu",17,41,tblPisces_NRT,Si si silicate pisces for forecast nrt near real time model bio chem biogo biogeochemistry biogeochem blend
NO3,Mole concentration of Nitrate in sea water,mmol/m^3,Model,Blend,Forecast,Biogeochemistry,Weekly,1/2° X 1/2°,,Biogeochemistry Analysis and Weekly Forcast,MERCATOR BIOMER4V1R2,http://marine.copernicus.eu,"""Produced by Mercator Ocean in Toulouse, France, is a global Ocean Biogeochemical analysis product at 1/2°. It is providing a 7-days mean global forecast updated weekly as well as 3D global ocean biogeochemical weekly mean analysis for the past 2 years updated every week. This product includes weekly mean files of dissolved iron, nitrate, phosphate, silicate, dissolved oxygen, chlorophyll concentration, phytoplankton concentration and primary production parameters from the top to the bottom of the Global Ocean on a 1/2° regular grid projection interpolated from the 1/4° ARAKAWA-C native grid. Vertical coverage includes 50 levels ranging from 0 to 5500 meters.""   http://marine.copernicus.eu",17,42,tblPisces_NRT,NO3 no3 nitrate pisces for forecast nrt near real time model bio chem biogo biogeochemistry biogeochem blend
CHL,Mass concentration of Chlorophyll in sea water,mg/m^3,Model,Blend,Forecast,Biogeochemistry,Weekly,1/2° X 1/2°,,Biogeochemistry Analysis and Weekly Forcast,MERCATOR BIOMER4V1R2,http://marine.copernicus.eu,"""Produced by Mercator Ocean in Toulouse, France, is a global Ocean Biogeochemical analysis product at 1/2°. It is providing a 7-days mean global forecast updated weekly as well as 3D global ocean biogeochemical weekly mean analysis for the past 2 years updated every week. This product includes weekly mean files of dissolved iron, nitrate, phosphate, silicate, dissolved oxygen, chlorophyll concentration, phytoplankton concentration and primary production parameters from the top to the bottom of the Global Ocean on a 1/2° regular grid projection interpolated from the 1/4° ARAKAWA-C native grid. Vertical coverage includes 50 levels ranging from 0 to 5500 meters.""   http://marine.copernicus.eu",17,43,tblPisces_NRT,CHL chl chlorophyll for forecast nrt near real time pisces model bio chem biogo biogeochemistry biogeochem blend
PHYC,Mole concentration of Phytoplankton expressed as carbon in sea water,mmol/m^3,Model,Blend,Forecast,Biogeochemistry,Weekly,1/2° X 1/2°,,Biogeochemistry Analysis and Weekly Forcast,MERCATOR BIOMER4V1R2,http://marine.copernicus.eu,"""Produced by Mercator Ocean in Toulouse, France, is a global Ocean Biogeochemical analysis product at 1/2°. It is providing a 7-days mean global forecast updated weekly as well as 3D global ocean biogeochemical weekly mean analysis for the past 2 years updated every week. This product includes weekly mean files of dissolved iron, nitrate, phosphate, silicate, dissolved oxygen, chlorophyll concentration, phytoplankton concentration and primary production parameters from the top to the bottom of the Global Ocean on a 1/2° regular grid projection interpolated from the 1/4° ARAKAWA-C native grid. Vertical coverage includes 50 levels ranging from 0 to 5500 meters.""   http://marine.copernicus.eu",17,44,tblPisces_NRT,PHYC phyc phytoplankton for forecast nrt near real time pisces model bio chem biogo biogeochemistry biogeochem blend
PO4,Mole concentration of Phosphate in sea water,mmol/m^3,Model,Blend,Forecast,Biogeochemistry,Weekly,1/2° X 1/2°,,Biogeochemistry Analysis and Weekly Forcast,MERCATOR BIOMER4V1R2,http://marine.copernicus.eu,"""Produced by Mercator Ocean in Toulouse, France, is a global Ocean Biogeochemical analysis product at 1/2°. It is providing a 7-days mean global forecast updated weekly as well as 3D global ocean biogeochemical weekly mean analysis for the past 2 years updated every week. This product includes weekly mean files of dissolved iron, nitrate, phosphate, silicate, dissolved oxygen, chlorophyll concentration, phytoplankton concentration and primary production parameters from the top to the bottom of the Global Ocean on a 1/2° regular grid projection interpolated from the 1/4° ARAKAWA-C native grid. Vertical coverage includes 50 levels ranging from 0 to 5500 meters.""   http://marine.copernicus.eu",17,45,tblPisces_NRT,PO4 po4 phosphate for forecast nrt near real time pisces model bio chem biogo biogeochemistry biogeochem blend
O2,Mole Concentration of dissolved Oxygen in sea water,mmol/m^3,Model,Blend,Forecast,Biogeochemistry,Weekly,1/2° X 1/2°,,Biogeochemistry Analysis and Weekly Forcast,MERCATOR BIOMER4V1R2,http://marine.copernicus.eu,"""Produced by Mercator Ocean in Toulouse, France, is a global Ocean Biogeochemical analysis product at 1/2°. It is providing a 7-days mean global forecast updated weekly as well as 3D global ocean biogeochemical weekly mean analysis for the past 2 years updated every week. This product includes weekly mean files of dissolved iron, nitrate, phosphate, silicate, dissolved oxygen, chlorophyll concentration, phytoplankton concentration and primary production parameters from the top to the bottom of the Global Ocean on a 1/2° regular grid projection interpolated from the 1/4° ARAKAWA-C native grid. Vertical coverage includes 50 levels ranging from 0 to 5500 meters.""   http://marine.copernicus.eu",17,46,tblPisces_NRT,O2 o2 oxygen phosphate for forecast nrt near real time pisces model bio chem biogo biogeochemistry biogeochem blend
salinity,Salinity,psu,Observation,In-Situ,Reprocessed,Chemistry,Irregular,Irregular,,Surface Ocean CO2 Atlas,https://www.socat.info/,https://www.socat.info/,"""The Surface Ocean CO₂ Atlas (SOCAT) is a synthesis activity for quality-controlled, surface ocean fCO₂ (fugacity of carbon dioxide) observations by the international marine carbon research community (>100 contributors). SOCAT data is publicly available, discoverable and citable. SOCAT enables quantification of the ocean carbon sink and ocean acidification and evaluation of ocean biogeochemical models. SOCAT, which celebrates its 10th anniversary in 2017, represents a milestone in biogeochemical and climate research and in informing policy.""   https://www.socat.info/",5,47,tblSOCAT,salinity sal salinity rep reprocessed observation chem chemistry insitu in-situ situ
insitu_sst,SST,C,Observation,In-Situ,Reprocessed,Chemistry,Irregular,Irregular,,Surface Ocean CO2 Atlas,https://www.socat.info/,https://www.socat.info/,"""The Surface Ocean CO₂ Atlas (SOCAT) is a synthesis activity for quality-controlled, surface ocean fCO₂ (fugacity of carbon dioxide) observations by the international marine carbon research community (>100 contributors). SOCAT data is publicly available, discoverable and citable. SOCAT enables quantification of the ocean carbon sink and ocean acidification and evaluation of ocean biogeochemical models. SOCAT, which celebrates its 10th anniversary in 2017, represents a milestone in biogeochemical and climate research and in informing policy.""   https://www.socat.info/",5,48,tblSOCAT,insitu_sst sst socat pco2 sea surface temperature temp rep reprocessed observation chem chemistry insitu in-situ situ
pressure_atm,Atmosphere Presure,atm,Observation,In-Situ,Reprocessed,Chemistry,Irregular,Irregular,,Surface Ocean CO2 Atlas,https://www.socat.info/,https://www.socat.info/,"""The Surface Ocean CO₂ Atlas (SOCAT) is a synthesis activity for quality-controlled, surface ocean fCO₂ (fugacity of carbon dioxide) observations by the international marine carbon research community (>100 contributors). SOCAT data is publicly available, discoverable and citable. SOCAT enables quantification of the ocean carbon sink and ocean acidification and evaluation of ocean biogeochemical models. SOCAT, which celebrates its 10th anniversary in 2017, represents a milestone in biogeochemical and climate research and in informing policy.""   https://www.socat.info/",5,49,tblSOCAT,pressure_atm atmosphere pressure rep reprocessed observation chem chemistry insitu in-situ situ
delta_pco2,Delta pCO2,uatm,Observation,In-Situ,Reprocessed,Chemistry,Irregular,Irregular,,Surface Ocean CO2 Atlas,https://www.socat.info/,https://www.socat.info/,"""The Surface Ocean CO₂ Atlas (SOCAT) is a synthesis activity for quality-controlled, surface ocean fCO₂ (fugacity of carbon dioxide) observations by the international marine carbon research community (>100 contributors). SOCAT data is publicly available, discoverable and citable. SOCAT enables quantification of the ocean carbon sink and ocean acidification and evaluation of ocean biogeochemical models. SOCAT, which celebrates its 10th anniversary in 2017, represents a milestone in biogeochemical and climate research and in informing policy.""   https://www.socat.info/",5,50,tblSOCAT,delta_pco2 delta pco2 rep reprocessed observation chem chemistry insitu in-situ situ
delta_fco2,Delta fCO2,uatm,Observation,In-Situ,Reprocessed,Chemistry,Irregular,Irregular,,Surface Ocean CO2 Atlas,https://www.socat.info/,https://www.socat.info/,"""The Surface Ocean CO₂ Atlas (SOCAT) is a synthesis activity for quality-controlled, surface ocean fCO₂ (fugacity of carbon dioxide) observations by the international marine carbon research community (>100 contributors). SOCAT data is publicly available, discoverable and citable. SOCAT enables quantification of the ocean carbon sink and ocean acidification and evaluation of ocean biogeochemical models. SOCAT, which celebrates its 10th anniversary in 2017, represents a milestone in biogeochemical and climate research and in informing policy.""   https://www.socat.info/",5,51,tblSOCAT,delta_fco2 delta fco2 rep reprocessed observation chem chemistry insitu in-situ situ
fco2,fCO2,uatm,Observation,In-Situ,Reprocessed,Chemistry,Irregular,Irregular,,Surface Ocean CO2 Atlas,https://www.socat.info/,https://www.socat.info/,"""The Surface Ocean CO₂ Atlas (SOCAT) is a synthesis activity for quality-controlled, surface ocean fCO₂ (fugacity of carbon dioxide) observations by the international marine carbon research community (>100 contributors). SOCAT data is publicly available, discoverable and citable. SOCAT enables quantification of the ocean carbon sink and ocean acidification and evaluation of ocean biogeochemical models. SOCAT, which celebrates its 10th anniversary in 2017, represents a milestone in biogeochemical and climate research and in informing policy.""   https://www.socat.info/",5,52,tblSOCAT,fco2 fco2 rep reprocessed observation chem chemistry insitu in-situ situ
eddy_lat,Eddy core latitude,deg,Observation,Satellite,Reprocessed,Physics,Daily,Irregular,,Global Eddy Dataset (ML),Opedia,Simons Ocean Atlas,A novel altimetry-based machine learning approach for eddy identification and characterization. The machine learning models use daily maps of geostrophic velocity anomalies and are trained according to the phase angle between the zonal and meridional components at each grid point. The trained models are then used to identify the corresponding eddy phase patterns and to predict the lifetime of a detected eddy structure.,19,53,tblEddyCoresML,eddy_lat eddy core lat latitude ML machine learning rep reprocessed observation satellite phys physics
